date,hosp,vent
2020-03-17,1,
2020-03-18,2,
2020-03-19,2,
2020-03-20,3,
2020-03-21,3,
2020-03-22,3,
2020-03-23,4,
2020-03-24,3,
2020-03-25,3,
2020-03-26,3,
2020-03-27,3,2.0
2020-03-28,3,2.0
2020-03-29,4,3.0
2020-03-30,7,2.0
2020-03-31,8,3.0
2020-04-01,10,5.0
2020-04-02,9,5.0
2020-04-03,10,6.0
2020-04-04,12,6.0
2020-04-05,15,6.0
2020-04-06,22,6.0
2020-04-07,22,8.0
2020-04-08,22,9.0
2020-04-09,22,8.0
2020-04-10,21,7.0
2020-04-11,19,5.0
2020-04-12,23,5.0
2020-04-13,23,5.0
2020-04-14,23,3.0
2020-04-15,26,3.0
2020-04-16,24,3.0
2020-04-17,26,3.0
2020-04-18,21,3.0
2020-04-19,26,3.0
2020-04-20,31,2.0
2020-04-21,34,2.0
2020-04-22,30,1.0
2020-04-23,22,1.0
2020-04-24,26,1.0
2020-04-25,23,2.0
2020-04-26,24,2.0
2020-04-27,26,3.0
2020-04-28,25,4.0
2020-04-29,25,5.0
2020-04-30,26,5.0
2020-05-01,27,5.0
2020-05-02,31,5.0
2020-05-03,32,4.0
2020-05-04,36,5.0
2020-05-05,35,5.0
2020-05-06,31,5.0
2020-05-07,27,7.0
2020-05-08,27,7.0
2020-05-09,26,3.0
2020-05-10,25,3.0
2020-05-11,24,3.0
2020-05-12,27,3.0
2020-05-13,24,3.0
2020-05-14,22,3.0
2020-05-15,21,3.0
2020-05-16,16,3.0
2020-05-17,18,3.0
2020-05-18,19,3.0
2020-05-19,21,3.0
2020-05-20,23,4.0
2020-05-21,25,5.0
2020-05-22,27,6.0
2020-05-23,25,8.0
2020-05-24,28,8.0
2020-05-25,26,7.0
2020-05-26,24,6.0
2020-05-27,23,6.0
2020-05-28,25,6.0
2020-05-29,24,6.0
2020-05-30,24,4.0
2020-05-31,26,4.0
2020-06-01,24,5.0
2020-06-02,20,5.0
2020-06-03,15,6.0
2020-06-04,14,6.0
2020-06-05,15,6.0
2020-06-06,14,6.0
2020-06-07,15,5.0
2020-06-08,16,4.0
2020-06-09,17,3.0
2020-06-10,13,3.0
2020-06-11,13,3.0
2020-06-12,16,3.0
2020-06-13,15,2.0
2020-06-14,15,2.0
2020-06-15,15,2.0
2020-06-16,17,3.0
2020-06-17,21,4.0
2020-06-18,17,4.0
2020-06-19,14,4.0
2020-06-20,14,4.0
2020-06-21,14,5.0
2020-06-22,13,5.0
2020-06-23,12,5.0
2020-06-24,12,5.0
2020-06-25,12,4.0
2020-06-26,10,3.0
2020-06-27,10,3.0
2020-06-28,11,3.0
2020-06-29,10,3.0
2020-06-30,9,2.0
2020-07-01,9,2.0
2020-07-02,8,2.0
2020-07-03,6,2.0
2020-07-04,7,2.0
2020-07-05,7,2.0
2020-07-06,6,1.0
2020-07-07,6,1.0
2020-07-08,7,1.0
2020-07-09,7,1.0
2020-07-10,8,
2020-07-11,5,
2020-07-12,5,
2020-07-13,5,
2020-07-14,6,
2020-07-15,4,
2020-07-16,7,
2020-07-17,6,
2020-07-18,7,
2020-07-19,11,
2020-07-20,11,
2020-07-21,11,
2020-07-22,12,
2020-07-23,10,
2020-07-24,9,
2020-07-25,9,1.0
2020-07-26,9,
2020-07-27,8,
2020-07-28,7,
2020-07-29,7,
2020-07-30,9,
2020-07-31,9,1.0
2020-08-01,10,1.0
2020-08-02,13,1.0
2020-08-03,14,1.0
2020-08-04,13,1.0
2020-08-05,12,1.0
2020-08-06,11,2.0
2020-08-07,10,2.0
2020-08-08,7,2.0
2020-08-09,8,2.0
2020-08-10,8,3.0
2020-08-11,8,3.0
2020-08-12,5,3.0
2020-08-13,3,2.0
2020-08-14,3,2.0
2020-08-15,3,2.0
2020-08-16,3,2.0
2020-08-17,2,1.0
2020-08-18,2,1.0
2020-08-19,1,1.0
2020-08-20,1,1.0
2020-08-21,2,1.0
2020-08-22,3,1.0
2020-08-23,2,1.0
2020-08-24,3,1.0
2020-08-25,3,1.0
2020-08-26,5,1.0
2020-08-27,5,1.0
2020-08-28,6,1.0
2020-08-29,7,1.0
2020-08-30,8,1.0
2020-08-31,9,1.0
2020-09-01,7,1.0
2020-09-02,7,1.0
2020-09-03,4,1.0
2020-09-04,4,1.0
2020-09-05,4,1.0
2020-09-06,4,1.0
2020-09-07,5,1.0
2020-09-08,5,1.0
2020-09-09,4,1.0
2020-09-10,4,2.0
2020-09-11,4,2.0
2020-09-12,5,2.0
2020-09-13,6,1.0
2020-09-14,5,
2020-09-15,3,
2020-09-16,3,
2020-09-17,3,
2020-09-18,3,
2020-09-19,4,
2020-09-20,4,
2020-09-21,4,
2020-09-22,3,
2020-09-23,4,1.0
2020-09-24,3,1.0
2020-09-25,2,1.0
2020-09-26,3,1.0
2020-09-27,5,1.0
2020-09-28,7,1.0
2020-09-29,5,1.0
2020-09-30,5,1.0
2020-10-01,4,1.0
2020-10-02,4,2.0
2020-10-03,5,2.0
2020-10-04,6,2.0
2020-10-05,7,2.0
2020-10-06,9,2.0
2020-10-07,10,2.0
2020-10-08,9,2.0
2020-10-09,9,2.0
2020-10-10,7,1.0
2020-10-11,8,1.0
2020-10-12,9,1.0
2020-10-13,10,1.0
2020-10-14,9,
2020-10-15,10,
2020-10-16,8,
2020-10-17,7,
2020-10-18,6,
2020-10-19,7,
2020-10-20,8,
2020-10-21,8,
2020-10-22,6,
2020-10-23,5,1.0
2020-10-24,5,1.0
2020-10-25,4,1.0
2020-10-26,4,1.0
2020-10-27,5,1.0
2020-10-28,7,1.0
2020-10-29,7,1.0
2020-10-30,7,1.0
2020-10-31,8,
