param,base,distribution,p1,p2,description
n_hosp,1.0,constant,,,Number of hospitalized COVID-19 patients on day 1
hosp_prop,0.025,gamma,6.326832789,0.004168888,Prportion of infections requiring hospitalization
ICU_prop,0.45,beta,52.0593112,96.8674197,Proportion of hospitalizations admitted to ICU
vent_prop,0.66,beta,5.224029085,3.0788852660000003,Proportion of ICU patients requiring ventilation
hosp_LOS,12.0,gamma,95.24265771892391,0.1288445474608135,Hospital Length of Stay
ICU_LOS,9.0,gamma,122.60108148286571,0.10422193074778188,ICU Length of Stay
vent_LOS,1.111111111,gamma,51.11447063623193,0.4517814864202343,time on vent
mkt_share,0.1178,constant,,,Hospital Market Share (%)
region_pop,1200000.0,constant,,,Regional Population
incubation_days,5.0,gamma,9.514379271000001,0.513980244,Days from exposure to infectiousness
recovery_days,14.0,gamma,9.833457434,1.642265575,Days from infection to recovery
logistic_k,1.0,gamma,4.018953794,0.22738215,logistic growth rate
logistic_x0,14.0,gamma,6.407435434,2.859728136,logistic days from beginning of time series to middle of logistic
logistic_L,0.5,beta,2.0,3.0,logistic depth of social distancing
nu,2.5,gamma,93.95521690000001,0.02634306,Networked contact structure power-law exponent
beta,0.25,beta,5.0,10.0,SEIR beta parameter (force of infection)
hosp_capacity,,constant,,,Hospital Bed Capacity
vent_capacity,196.0,constant,,,Ventilator Capacity
