date,hosp,vent
2020-03-09,2.0,1.0
2020-03-10,3.0,1.0
2020-03-11,3.0,1.0
2020-03-12,3.0,1.0
2020-03-13,5.0,1.0
2020-03-14,5.0,1.0
2020-03-15,5.0,1.0
2020-03-16,5.0,1.0
2020-03-17,5.0,1.0
2020-03-18,5.0,1.0
2020-03-19,5.0,1.0
2020-03-20,4.0,1.0
2020-03-21,4.0,1.0
2020-03-22,5.0,1.0
2020-03-23,5.0,1.0
2020-03-24,7.0,1.0
2020-03-25,8.0,1.0
2020-03-26,12.0,3.0
2020-03-27,14.0,4.0
2020-03-28,22.0,6.0
2020-03-29,26.0,8.0
2020-03-30,33.0,9.0
2020-03-31,43.0,11.0
2020-04-01,55.0,14.0
2020-04-02,64.0,17.0
2020-04-03,69.0,22.0
2020-04-04,68.0,24.0
2020-04-05,72.0,28.0
2020-04-06,79.0,29.0
2020-04-07,77.0,31.0
2020-04-08,78.0,35.0
2020-04-09,82.0,35.0
2020-04-10,83.0,38.0
2020-04-11,82.0,38.0
2020-04-12,83.0,37.0
2020-04-13,82.0,38.0
2020-04-14,85.0,38.0
2020-04-15,86.0,42.0
2020-04-16,94.0,39.0
2020-04-17,100.0,39.0
2020-04-18,94.0,36.0
2020-04-19,94.0,35.0
2020-04-20,98.0,34.0
2020-04-21,100.0,36.0
2020-04-22,101.0,35.0
2020-04-23,100.0,31.0
