date,hosp,vent,mort
3/17/20,1,,
3/18/20,3,,
3/19/20,6,,
3/20/20,7,1,
3/21/20,10,2,
3/22/20,15,2,
3/23/20,18,5,
3/24/20,25,5,
3/25/20,31,7,
3/26/20,38,10,
3/27/20,52,10,
3/28/20,60,11,
3/29/20,64,14,
3/30/20,71,20,
3/31/20,73,25,
4/1/20,77,26,
4/2/20,66,26,
4/3/20,69,28,
4/4/20,60,22,
4/5/20,62,22,
4/6/20,66,23,
4/7/20,62,22,
4/8/20,62,21,
4/9/20,64,23,
4/10/20,65,24,
4/11/20,64,22,
4/12/20,71,24,
4/13/20,70,21,
4/14/20,70,21,
4/15/20,74,22,
4/16/20,67,20,
4/17/20,62,15,
4/18/20,64,17,
4/19/20,71,17,
4/20/20,80,18,
4/21/20,86,18,
4/22/20,76,16,
4/23/20,75,17,
4/24/20,69,18,
4/25/20,67,17,
4/26/20,67,15,
4/27/20,68,13,
4/28/20,74,12,
4/29/20,72,14,
4/30/20,66,14,
5/1/20,62,14,
5/2/20,60,15,
5/3/20,59,14,
5/4/20,63,15,
5/5/20,58,15,
5/6/20,57,16,
5/7/20,50,15,
5/8/20,54,16,
5/9/20,49,17,
5/10/20,52,16,
5/11/20,53,16,
5/12/20,49,13,
5/13/20,45,12,
5/14/20,44,12,
5/15/20,41,11,
5/16/20,38,10,
5/17/20,34,10,
5/18/20,37,10,
5/19/20,34,9,
5/20/20,31,8,
5/21/20,33,7,
5/22/20,32,7,
5/23/20,26,7,
5/24/20,30,7,
5/25/20,29,7,
5/26/20,32,6,
5/27/20,32,6,
5/28/20,33,7,
5/29/20,31,6,
5/30/20,24,6,
5/31/20,23,6,
6/1/20,24,6,
6/2/20,21,5,
6/3/20,23,5,
6/4/20,23,5,
6/5/20,21,5,
6/6/20,23,5,
6/7/20,24,5,
6/8/20,22,3,
6/9/20,14,3,
6/10/20,11,3,
6/11/20,9,2,
6/12/20,9,2,
6/13/20,10,3,
6/14/20,8,3,
6/15/20,10,3,
6/16/20,12,3,
6/17/20,10,3,
6/18/20,11,3,
6/19/20,9,3,
6/20/20,9,2,
6/21/20,10,2,
6/22/20,10,2,
6/23/20,12,2,
6/24/20,14,2,
6/25/20,12,2,
6/26/20,8,2,
6/27/20,10,2,
6/28/20,7,2,
6/29/20,7,2,
6/30/20,5,2,
7/1/20,5,2,
7/2/20,5,2,
7/3/20,6,2,
7/4/20,7,2,
7/5/20,9,2,
7/6/20,8,2,
7/7/20,9,2,
7/8/20,6,2,
7/9/20,7,2,
7/10/20,8,2,
7/11/20,10,1,
7/12/20,8,1,
7/13/20,8,1,
7/14/20,8,1,
7/15/20,6,1,
7/16/20,7,1,
7/17/20,6,1,
7/18/20,5,1,
7/19/20,5,1,
7/20/20,5,1,
7/21/20,5,1,
7/22/20,6,1,
7/23/20,6,1,
7/24/20,8,1,
7/25/20,9,1,
7/26/20,7,1,
7/27/20,7,1,
7/28/20,7,1,
7/29/20,7,,
7/30/20,6,,
7/31/20,7,,
8/1/20,7,,
8/2/20,6,,
8/3/20,6,,
8/4/20,6,,
8/5/20,6,,
8/6/20,5,,
8/7/20,5,,
8/8/20,4,,
8/9/20,4,,
8/10/20,3,,
8/11/20,3,,
8/12/20,1,,
8/13/20,1,,
8/19/20,1,,
8/20/20,1,,
8/21/20,2,,
8/22/20,3,,
8/23/20,2,,
8/24/20,2,,
8/25/20,2,,
8/27/20,1,,
8/28/20,3,,
8/29/20,4,,
8/30/20,4,,
8/31/20,3,,
9/1/20,2,,
9/2/20,4,1,
9/3/20,2,1,
9/4/20,2,1,
9/5/20,3,1,
9/6/20,3,,
9/7/20,3,,
9/8/20,2,,
9/9/20,4,,
9/10/20,4,,
9/11/20,3,,
9/12/20,4,,
9/13/20,3,,
9/14/20,3,,
9/15/20,5,,
9/16/20,6,,
9/17/20,6,,
9/18/20,5,,
9/19/20,4,,
9/20/20,5,,
9/21/20,5,1,
9/22/20,5,1,
9/23/20,3,,
9/24/20,2,,
9/25/20,2,,
9/26/20,2,,
9/27/20,1,,
9/28/20,2,,
9/29/20,4,,
9/30/20,3,,
10/1/20,3,,
10/2/20,4,,
10/3/20,4,,
10/4/20,4,,
10/5/20,3,,
10/6/20,4,,
10/7/20,4,,
10/8/20,5,,
10/9/20,5,,
10/10/20,5,,
10/11/20,5,,
10/12/20,5,,
10/13/20,4,,
10/14/20,4,,
10/15/20,3,,
10/16/20,5,,
10/17/20,5,,
10/18/20,4,,
10/19/20,4,,
10/20/20,4,,
10/21/20,6,,
10/22/20,8,,
10/23/20,9,,
10/24/20,9,,
10/25/20,10,,
10/26/20,6,,
10/27/20,8,,
10/28/20,8,,
10/29/20,5,,
10/30/20,5,,
10/31/20,6,,
