date,hosp,vent
3/11/20,1,
3/12/20,2,
3/13/20,3,
3/14/20,4,
3/15/20,4,
3/16/20,6,
3/17/20,8,
3/18/20,12,
3/19/20,14,
3/20/20,15,
3/21/20,20,
3/22/20,22,
3/23/20,28,
3/24/20,33,
3/25/20,39,
3/26/20,50,
3/27/20,62,
3/28/20,71,
3/29/20,76,
3/30/20,83,
3/31/20,86,
4/1/20,88,
4/2/20,90,
4/3/20,88,
4/4/20,92,
4/5/20,98,
4/6/20,96,
4/7/20,105,
4/8/20,105,
4/9/20,111,
4/10/20,102,
4/11/20,90,
4/12/20,87,
4/13/20,89,
4/14/20,89,
4/15/20,81,
4/16/20,95,
4/17/20,89,
4/18/20,85,
4/19/20,85,
4/20/20,90,
4/21/20,87,
4/22/20,87,
4/23/20,86,
4/24/20,77,
4/25/20,70,
4/26/20,70,
4/27/20,68,
4/28/20,73,
4/29/20,73,
4/30/20,59,
5/1/20,60,
5/2/20,58,
5/3/20,54,
5/4/20,54,
5/5/20,54,
5/6/20,58,
5/7/20,64,
5/8/20,50,
5/9/20,50,
5/10/20,48,
5/11/20,54,
5/12/20,55,
5/13/20,57,
5/14/20,57,
5/15/20,52,
5/16/20,53,
5/17/20,68,
5/18/20,68,
5/19/20,68,
5/20/20,70,
5/21/20,71,
