date,hosp,vent
2020-03-20,1.0,
2020-03-21,2.0,
2020-03-22,4.0,
2020-03-23,6.0,
2020-03-24,5.0,1.0
2020-03-25,5.0,1.0
2020-03-26,6.0,1.0
2020-03-27,10.0,1.0
2020-03-28,10.0,2.0
2020-03-29,11.0,2.0
2020-03-30,13.0,2.0
2020-03-31,14.0,4.0
2020-04-01,16.0,5.0
2020-04-02,19.0,7.0
2020-04-03,21.0,8.0
2020-04-04,21.0,7.0
2020-04-05,29.0,8.0
2020-04-06,29.0,9.0
2020-04-07,30.0,9.0
2020-04-08,31.0,8.0
2020-04-09,30.0,8.0
2020-04-10,27.0,8.0
2020-04-11,25.0,8.0
2020-04-12,28.0,9.0
2020-04-13,28.0,9.0
2020-04-14,28.0,9.0
2020-04-15,27.0,10.0
2020-04-16,25.0,11.0
2020-04-17,29.0,11.0
2020-04-18,32.0,10.0
2020-04-19,36.0,11.0
2020-04-20,35.0,11.0
2020-04-21,42.0,11.0
2020-04-22,41.0,12.0
2020-04-23,42.0,12.0
