date,hosp,vent,mort
3/17/20,1,1,
3/18/20,1,1,
3/19/20,1,1,
3/20/20,1,1,
3/21/20,4,3,
3/22/20,6,4,
3/23/20,8,5,
3/24/20,8,6,
3/25/20,10,7,
3/26/20,14,10,
3/27/20,18,11,
3/28/20,23,12,
3/29/20,27,15,
3/30/20,31,17,
3/31/20,37,18,
4/1/20,42,18,
4/2/20,56,20,
4/3/20,65,21,
4/4/20,65,22,
4/5/20,71,29,
4/6/20,73,27,
4/7/20,71,27,
4/8/20,73,29,
4/9/20,77,31,
4/10/20,79,31,
4/11/20,76,34,
4/12/20,76,30,
4/13/20,82,31,
4/14/20,84,33,
4/15/20,91,34,
4/16/20,94,33,
4/17/20,95,35,
4/18/20,91,34,
4/19/20,96,36,
4/20/20,99,38,
4/21/20,91,34,
4/22/20,90,35,
4/23/20,89,35,
4/24/20,90,33,
4/25/20,89,31,
4/26/20,85,27,
4/27/20,87,28,
4/28/20,83,26,
4/29/20,77,25,
4/30/20,70,25,
5/1/20,69,24,
5/2/20,68,24,
5/3/20,65,22,
5/4/20,69,24,
5/5/20,70,26,
5/6/20,68,26,
5/7/20,62,25,
5/8/20,65,25,
5/9/20,63,25,
5/10/20,61,25,
5/11/20,60,23,
5/12/20,57,21,
5/13/20,57,23,
5/14/20,53,23,
5/15/20,50,24,
5/16/20,54,23,
5/17/20,57,23,
5/18/20,61,22,
5/19/20,66,21,
5/20/20,69,21,
5/21/20,67,20,
5/22/20,61,19,
5/23/20,59,17,
5/24/20,61,18,
5/25/20,64,20,
5/26/20,63,23,
5/27/20,63,22,
5/28/20,63,22,
5/29/20,60,19,
5/30/20,50,15,
5/31/20,47,15,
6/1/20,46,14,
6/2/20,45,15,
6/3/20,45,14,
6/4/20,44,16,
6/5/20,47,16,
6/6/20,48,16,
6/7/20,48,15,
6/8/20,50,16,
6/9/20,49,17,
6/10/20,46,16,
6/11/20,44,16,
6/12/20,38,14,
6/13/20,35,13,
6/14/20,34,14,
6/15/20,35,14,
6/16/20,33,12,
6/17/20,25,13,
6/18/20,27,12,
6/19/20,24,11,
6/20/20,20,10,
6/21/20,23,11,
6/22/20,25,11,
6/23/20,26,11,
6/24/20,27,12,
6/25/20,30,12,
6/26/20,27,11,
6/27/20,26,11,
6/28/20,26,10,
6/29/20,25,10,
6/30/20,26,12,
7/1/20,30,13,
7/2/20,31,13,
7/3/20,34,12,
7/4/20,30,11,
7/5/20,30,11,
7/6/20,28,12,
7/7/20,29,11,
7/8/20,24,12,
7/9/20,27,10,
7/10/20,25,11,
7/11/20,20,10,
7/12/20,18,10,
7/13/20,18,10,
7/14/20,16,10,
7/15/20,19,9,
7/16/20,20,9,
7/17/20,21,9,
7/18/20,22,9,
7/19/20,22,10,
7/20/20,19,10,
7/21/20,19,10,
7/22/20,20,10,
7/23/20,18,9,
7/24/20,15,9,
7/25/20,16,9,
7/26/20,14,9,
7/27/20,15,8,
7/28/20,14,7,
7/29/20,17,7,
7/30/20,17,7,
7/31/20,17,7,
8/1/20,20,8,
8/2/20,19,6,
8/3/20,18,6,
8/4/20,17,6,
8/5/20,16,6,
8/6/20,17,6,
8/7/20,17,6,
8/8/20,14,6,
8/9/20,14,6,
8/10/20,15,6,
8/11/20,18,6,
8/12/20,20,6,
8/13/20,20,6,
8/14/20,17,6,
8/15/20,13,6,
8/16/20,14,5,
8/17/20,13,5,
8/18/20,11,4,
8/19/20,11,4,
8/20/20,9,4,
8/21/20,7,4,
8/22/20,6,4,
8/23/20,6,4,
8/24/20,6,4,
8/25/20,7,4,
8/26/20,5,4,
8/27/20,7,4,
8/28/20,9,5,
8/29/20,10,5,
8/30/20,8,5,
8/31/20,8,5,
9/1/20,10,5,
9/2/20,8,4,
9/3/20,9,5,
9/4/20,10,5,
9/5/20,9,4,
9/6/20,9,4,
9/7/20,9,4,
9/8/20,9,4,
9/9/20,9,4,
9/10/20,10,4,
9/11/20,12,3,
9/12/20,11,2,
9/13/20,12,2,
9/14/20,11,2,
9/15/20,10,2,
9/16/20,11,2,
9/17/20,8,2,
9/18/20,8,2,
9/19/20,11,2,
9/20/20,11,2,
9/21/20,12,2,
9/22/20,13,2,
9/23/20,13,2,
9/24/20,13,2,
9/25/20,13,2,
9/26/20,12,2,
9/27/20,12,2,
9/28/20,13,2,
9/29/20,12,2,
9/30/20,11,2,
10/1/20,13,2,
10/2/20,12,2,
10/3/20,11,2,
10/4/20,12,2,
10/5/20,9,2,
10/6/20,10,3,
10/7/20,10,3,
10/8/20,7,3,
10/9/20,8,3,
10/10/20,8,4,
10/11/20,8,4,
10/12/20,8,4,
10/13/20,9,4,
10/14/20,9,4,
10/15/20,9,4,
10/16/20,9,3,
10/17/20,8,3,
10/18/20,8,4,
10/19/20,9,4,
10/20/20,11,4,
10/21/20,11,6,
10/22/20,12,5,
10/23/20,12,5,
10/24/20,11,5,
10/25/20,12,6,
10/26/20,14,7,
10/27/20,18,7,
10/28/20,19,7,
10/29/20,22,7,
10/30/20,25,7,
10/31/20,23,,
