date,hosp,vent,mort,,,,,,,
3/19/20,7,5,,,,,,,,
3/20/20,5,2,,,,,,,,
3/21/20,6,2,,,,,,,,
3/22/20,10,4,,,,,,,,
3/23/20,12,5,,,,,,,,
3/24/20,15,6,,,,,,,,
3/25/20,26,11,,,,,,,,
3/26/20,31,14,,,,,,,,
3/27/20,34,13,,,,,,,,
3/28/20,30,13,,,,,,,,
3/29/20,39,17,,,,,,,,
3/30/20,56,24,,,,,,,,
3/31/20,56,23,,,,,,,,
4/1/20,54,20,,,,,,,,
4/2/20,75,28,,,,,,,,
4/3/20,86,35,,,,,,,,
4/4/20,95,40,,,,,,,,
4/5/20,106,44,,,,,,,,
4/6/20,115,44,,,,,,,,
4/7/20,120,42,,,,,,,,
4/8/20,135,53,,,,,,,,
4/9/20,145,62,,,,,,,,
4/10/20,143,59,,,,,,,,
4/11/20,145,57,,,,,,,,
4/12/20,157,62,,,,,,,,
4/13/20,157,62,,,,,,,,
4/14/20,177,77,,,,,,,,
4/15/20,197,78,,,,,,,,
4/16/20,213,83,,,,,,,,
4/17/20,223,88,,,,,,,,
