date,hosp,vent,mort
2/22/20,1,0,
2/23/20,1,0,
2/24/20,4,1,
2/25/20,5,2,
2/26/20,5,2,
2/27/20,7,3,
2/28/20,9,3,
2/29/20,12,4,
3/1/20,12,4,
3/2/20,13,4,
3/3/20,10,4,
3/4/20,13,6,
3/5/20,16,8,
3/6/20,17,9,
3/7/20,9,8,
3/8/20,15,10,
3/9/20,35,18,
3/10/20,49,23,
3/11/20,73,31,
3/12/20,75,33,
3/13/20,138,53,
3/14/20,151,57,
3/15/20,186,69,
3/16/20,305,106,
3/17/20,345,119,
3/18/20,438,147,
3/19/20,517,172,
3/20/20,609,201,
3/21/20,647,213,
3/22/20,687,226,
3/23/20,981,315,
3/24/20,1049,337,
3/25/20,1215,387,
3/26/20,1319,420,
3/27/20,1283,410,
3/28/20,1227,394,
3/29/20,1290,414,
3/30/20,1562,497,
3/31/20,1437,460,
4/1/20,1439,462,
4/2/20,1617,516,
4/3/20,1627,520,
4/4/20,1340,435,
4/5/20,1335,421,
4/6/20,1610,453,
